HOSTNAME,MODEL,VENDOR,MANAGEMENT_IP,CANONICAL_LOCATION,ROUTING_DOMAIN,STATUS,FW_DOMAIN,FW_TENANT
RSCNGDI-WLC-MDF-03,8540 Series Wireless Controllers,Cisco,10.192.1.99,Beach Island (North Augusta) SC - Distribution Center,,Active,,
RSCNGDI-WLC-MDF-02,8540 Series Wireless Controllers,Cisco,10.192.1.98,Beach Island (North Augusta) SC - Distribution Center,,Active,,
RTNKXDI-WLC-MDF-03,8540 Series Wireless Controllers,Cisco,10.193.46.22,Knoxville TN - Distribution Center,,Active,,
RTNKXDI-WLC-MDF-02,8540 Series Wireless Controllers,Cisco,10.193.46.21,Knoxville TN - Distribution Center,,Active,,
PAZSHDC-WLC-PSS-FLEX-1,8540 Series Wireless Controllers,Cisco,10.97.228.6,Scottsdale AZ - Shea DC,,Active,,
PAZSHDC-WLC-CORAM-1,8540 Series Wireless Controllers,Cisco,10.97.228.5,Scottsdale AZ - Shea DC,,Active,,
PAZSHDC-WLC-PSS-PHARMACY-1,8540 Series Wireless Controllers,Cisco,10.97.228.7,Scottsdale AZ - Shea DC,,Active,,
PAZSHDC-WLC-PSS-FLEX-2,8540 Series Wireless Controllers,Cisco,10.97.228.9,Scottsdale AZ - Shea DC,,Active,,
PAZSHDC-WLC-CORAM-2,8540 Series Wireless Controllers,Cisco,10.97.228.8,Scottsdale AZ - Shea DC,,Active,,
PAZSHDC-WLC-PSS-PHARMACY-2,8540 Series Wireless Controllers,Cisco,10.97.228.10,Scottsdale AZ - Shea DC,,Active,,
RRIWSDC-WLC-RTL-FLEX-1,8540 Series Wireless Controllers,Cisco,10.21.228.7,Woonsocket RI - RI One,,Active,,
RRIWSDC-WLC-RTL-FLEX-2,8540 Series Wireless Controllers,Cisco,10.21.228.10,Woonsocket RI - RI One,,Active,,
RRIWSDC-WLC-OMNI-1,8540 Series Wireless Controllers,Cisco,10.21.228.5,Woonsocket RI - RI One,,Active,,
RRIWSDC-WLC-OMNI-2,8540 Series Wireless Controllers,Cisco,10.21.228.8,Woonsocket RI - RI One,,Active,,
NAA-WLC-MDF-01,9800 Wireless Controller,Cisco,10.192.1.91,Beech Island (North Augusta) SC - Distribution Center,,Active,,
NAA-WLC-MDF-02.cvshealth.com,9800 Wireless Controller,Cisco,10.192.1.92,Beech Island (North Augusta) SC - Distribution Center,,Active,,
CNR-WLC-MDF-01,9800 Wireless Controller,Cisco,10.189.33.89,Conroe TX - Distribution Center,,Active,,
CNR-WLC-MDF-02,9800 Wireless Controller,Cisco,10.189.33.90,Conroe TX - Distribution Center,,Active,,
ENN-WLC-MDF-01,9800 Wireless Controller,Cisco,10.189.1.105,Ennis TX - Distribution Center,,Active,,
ENN-WLC-MDF-02,9800 Wireless Controller,Cisco,10.189.1.106,Ennis TX - Distribution Center,,Active,,
FRG-WLC-MDF-01,9800 Wireless Controller,Cisco,10.193.97.106,Fredericksburg VA - Distribution Center,,Active,,
FRG-WLC-MDF-02.cvshealth.com,9800 Wireless Controller,Cisco,10.193.97.107,Fredericksburg VA - Distribution Center,,Active,,
INI-WLC-MDF-01.cvshealth.com,9800 Wireless Controller,Cisco,10.194.1.97,Indianapolis IN - Distribution Center,,Active,,
INI-WLC-MDF-02,9800 Wireless Controller,Cisco,10.194.1.98,Indianapolis IN - Distribution Center,,Active,,
JCY-WLC-MDF-01,9800 Wireless Controller,Cisco,10.191.144.244,Jersey City NJ - Distribution Center,,Active,,
JCY-WLC-MDF-02,9800 Wireless Controller,Cisco,10.191.144.245,Jersey City NJ - Distribution Center,,Active,,
KNN-WLC-MDF-01.cvshealth.com,9800 Wireless Controller,Cisco,10.194.97.97,Kansas City MO - Distribution Center,,Active,,
KNN-WLC-MDF-02.cvshealth.com,9800 Wireless Controller,Cisco,10.194.97.98,Kansas City MO - Distribution Center,,Active,,
KPL-WLC-MDF-01,9800 Wireless Controller,Cisco,10.195.161.97,Kapolei HI - Distribution Center,,Active,,
KPL-WLC-MDF-02.cvshealth.com,9800 Wireless Controller,Cisco,10.195.161.98,Kapolei HI - Distribution Center,,Active,,
KNV-WLC-MDF-01.cvshealth.com,9800 Wireless Controller,Cisco,10.193.33.92,Knoxville TN - Distribution Center,,Active,,
KNV-WLC-MDF-02,9800 Wireless Controller,Cisco,10.193.33.94,Knoxville TN - Distribution Center,,Active,,
LAH-WLC-MDF-01.cvshealth.com,9800 Wireless Controller,Cisco,10.195.1.97,La Habra CA - Distribution Center,,Active,,
LAH-WLC-MDF-02,9800 Wireless Controller,Cisco,10.195.1.98,La Habra CA - Distribution Center,,Active,,
LUM-WLC-MDF-01.cvshealth.com,9800 Wireless Controller,Cisco,10.191.1.91,Lumberton NJ - Distribution Center,,Active,,
